,meteoCode,lat,lon,name
0,3150,52.13333333333333,15.783333333333333,BABIMOST
1,3152,52.14,15.796111111111111,BABIMOST
2,6808,49.35,22.283333333333335,BALIGRÓD-MCHAWA
3,6708,49.43333333333333,21.683333333333334,BARWINEK
4,4505,51.4,19.366666666666667,BEŁCHATÓW
5,4902,51.18333333333333,23.266666666666666,BEZEK
6,3903,52.03333333333333,23.083333333333332,PODLASKA
7,1101,54.0,15.983333333333333,BIAŁOGARD
8,3902,52.7,23.85,BIAŁOWIEŻA
9,295,53.10722222222223,23.16222222222222,BIAŁYSTOK
10,2802,53.65,22.6,BIEBRZA-PIEŃCZYKÓWEK
11,6702,49.733333333333334,21.25,BIECZ-GRUDNA
12,3901,52.766666666666666,23.166666666666668,PODLASKI
13,600,49.808055555555555,19.00111111111111,BIELSKO-BIAŁA
14,5508,50.083333333333336,19.1,STARY
15,6803,49.68333333333333,22.483333333333334,BIRCZA
16,2601,53.85,20.983333333333334,BISKUPIEC
17,3301,52.81666666666667,17.133333333333333,BOBROWNIKI
18,6601,49.983333333333334,20.4,BOCHNIA
19,5601,50.95,20.95,BODZENTYN
20,5001,50.9,14.983333333333333,BOGATYNIA
21,5702,50.85,21.416666666666668,BOGUSŁAWICE
22,5252,50.25,16.883333333333333,BOLESŁAWÓW
23,1351,54.25333333333333,17.991111111111113,BORUCINO
24,5606,50.28333333333333,20.8,BORUSOWA
25,6451,49.75416666666667,18.871666666666666,BRENNA
26,3608,52.13333333333333,20.716666666666665,BRWINÓW
27,6806,49.45,22.616666666666667,DOLNE
28,6626,49.35,20.116666666666667,TATRZAŃSKA
29,240,53.1,17.966666666666665,BYDGOSZCZ
30,2450,53.166666666666664,18.05,BYDGOSZCZ
31,2351,53.09638888888889,17.995,BYDGOSZCZ-SZWEDEROWO
32,4201,51.71666666666667,16.65,CEBER
33,5707,50.516666666666666,21.65,CHMIELÓW
34,235,53.71527777777778,17.5325,CHOJNICE
35,5708,50.35,21.45,CHORZELÓW
36,2303,53.18333333333333,17.583333333333332,CHRZĄSTOWO
37,4250,51.44888888888889,16.61388888888889,CHWAŁKOWICE
38,3950,52.083333333333336,23.116666666666667,CICIBÓR
39,3401,52.88333333333333,18.8,CIECHOCINEK
40,5951,50.23361111111111,23.118055555555557,CIESZANÓW
41,6403,49.75,18.633333333333333,CIESZYN
42,1304,54.35,17.566666666666666,DĄBRÓWKA
43,5406,50.35,18.733333333333334,CZEKANÓW
44,4804,51.31666666666667,22.266666666666666,CZESŁAWICE
45,550,50.8125,19.092499999999998,CZĘSTOCHOWA
46,6622,49.43333333333333,20.333333333333332,CZORSZTYN-NADZAMCZE
47,1201,54.45,16.383333333333333,DARŁOWO
48,6635,49.46666666666667,20.216666666666665,DĘBNO
49,5211,50.25,16.633333333333333,DŁUGOPOLE-ZDRÓJ
50,6651,49.88333333333333,20.066666666666666,DOBCZYCE
51,2502,53.916666666666664,19.833333333333332,DOBROCIN
52,5302,50.766666666666666,17.016666666666666,DOBROGOSZCZ
53,6633,49.21666666666667,20.05,STAWÓW
54,5454,50.69611111111111,18.80888888888889,DRONIOWICE
55,6705,49.56666666666667,21.683333333333334,DUKLA
56,5206,50.4,16.4,DUSZNIKI-ZDRÓJ
57,6802,49.833333333333336,22.233333333333334,DYNÓW
58,1001,54.016666666666666,14.733333333333333,DZIWNÓW
59,160,54.223055555555554,19.54361111111111,ELBLĄG-MILEJEWO
60,4806,51.233333333333334,22.633333333333333,FELIN
61,1505,54.36666666666667,19.683333333333334,FROMBORK
62,150,54.38333333333333,18.466666666666665,GDAŃSK-RĘBIECHOWO
63,1407,54.38333333333333,18.466666666666665,GDAŃSK-RĘBIECHOWO
64,1404,54.333333333333336,18.933333333333334,GDAŃSK-ŚWIBNO
65,1402,54.516666666666666,18.566666666666666,GDYNIA
66,1702,54.03333333333333,21.8,GIŻYCKO
67,3404,52.65,18.45,GŁĘBOKIE
68,3501,52.833333333333336,19.233333333333334,GŁODOWO
69,5309,50.18333333333333,17.8,GŁUBCZYCE
70,5308,50.3,17.383333333333333,GŁUCHOŁAZY
71,3303,52.55,17.566666666666666,GNIEZNO
72,2004,53.59305555555556,14.893055555555556,GOLENIÓW
73,1801,54.31666666666667,22.316666666666666,GOŁDAP
74,300,52.74111111111111,15.277222222222223,WIELKOPOLSKI
75,3101,52.56666666666667,15.9,GORZYŃ
76,4101,51.65,15.116666666666667,GRABIK
